Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,1,24,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
5,1,1,33,3,HIT_WALL,false,0,2,0,0,0,,,0,0,-5
6,1,1,39,6,ACCELERATING,false,0,2,0,0,0,,,0,0,-5
7,1,1,47,8,ACCELERATING,false,0,2,0,0,0,,,0,0,-5
8,1,1,55,8,ACCELERATING,false,0,2,0,0,0,,,0,0,-5
9,1,1,63,8,ACCELERATING,false,0,2,0,0,0,,,0,0,-5
10,1,1,71,8,ACCELERATING,false,0,2,0,0,0,,,0,0,-5
11,1,1,79,8,ACCELERATING,false,0,2,0,0,1,,,0,0,-1
12,1,1,87,8,ACCELERATING,false,0,2,0,0,1,,,0,0,-1
13,1,1,95,8,ACCELERATING,false,0,2,0,0,1,,,0,0,-1
14,1,1,103,8,ACCELERATING,false,0,2,0,0,1,,,0,0,-1
15,1,1,111,8,ACCELERATING,false,0,2,0,0,1,,,1,0,3
16,1,1,119,8,ACCELERATING,false,0,2,0,0,1,,,1,0,3
17,1,1,127,8,ACCELERATING,false,0,2,0,0,1,,,1,0,3
18,1,1,135,6,HIT_MUD,false,0,3,0,0,1,,,1,0,0
19,1,1,141,6,ACCELERATING,false,0,3,0,0,1,,,1,0,0
20,1,1,147,6,ACCELERATING,false,0,3,0,0,1,,,1,0,0
21,1,2,152,3,HIT_MUD,false,0,4,0,1,1,,,1,0,1
22,1,2,155,3,ACCELERATING,false,0,4,0,1,1,,,1,0,1
23,1,2,158,3,ACCELERATING,false,0,4,0,1,1,,,1,1,5
24,1,2,161,3,ACCELERATING,false,0,4,0,1,1,,,1,1,5
25,1,2,164,3,ACCELERATING,false,0,4,0,1,1,,,1,1,5
26,1,2,167,3,ACCELERATING,false,0,4,0,1,1,,,1,2,9
27,1,2,170,3,ACCELERATING,false,0,4,0,1,1,,,1,2,9
28,1,2,173,3,ACCELERATING,false,0,4,0,1,1,,,1,2,9
29,1,2,176,3,ACCELERATING,false,0,4,0,1,1,,,1,2,9
30,1,2,179,3,ACCELERATING,false,0,4,0,1,1,,,2,2,13
31,1,2,182,3,ACCELERATING,false,0,4,0,1,1,,,2,2,13
