Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,3,HIT_MUD,false,0,2,0,0,0,,,0,0,-6
4,2,4,21,3,HIT_MUD,false,0,3,0,0,0,,,0,0,-9
5,2,4,27,3,HIT_MUD,false,0,4,0,0,0,,,0,0,-12
6,2,4,30,0,HIT_WALL,false,0,5,0,0,0,,,1,0,-13
7,2,4,30,0,FIXED_CAR,false,0,3,0,0,0,,,1,0,-13
8,2,4,33,3,ACCELERATING,false,0,3,0,1,0,,,1,0,-9
9,2,4,39,6,ACCELERATING,false,0,3,0,1,0,,,1,0,-9
10,2,4,45,3,HIT_MUD,false,0,4,0,1,0,,,1,0,-12
11,2,4,48,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-12
12,2,4,51,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-12
13,2,4,54,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-12
14,2,4,57,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-12
15,2,4,60,3,ACCELERATING,false,0,4,1,1,0,,,1,0,-8
16,2,4,63,3,ACCELERATING,false,0,4,1,1,1,,,1,1,0
17,2,4,66,3,ACCELERATING,false,0,4,1,1,2,,,2,1,8
18,2,4,69,0,HIT_MUD,false,0,5,1,1,2,,,2,1,5
19,2,4,69,0,FIXED_CAR,false,0,3,1,1,2,,,2,1,5
20,2,4,72,3,ACCELERATING,false,0,3,1,1,2,,,2,1,5
21,2,4,78,3,HIT_MUD,false,0,4,1,1,2,,,2,1,2
22,2,4,81,3,ACCELERATING,false,0,4,1,1,2,,,2,1,2
23,2,4,84,3,ACCELERATING,false,0,4,1,1,2,,,2,1,2
24,2,4,87,3,ACCELERATING,false,0,4,1,1,2,,,2,1,2
25,2,4,90,3,ACCELERATING,false,0,4,1,1,2,,,2,1,2
26,2,4,93,0,HIT_MUD,false,0,5,1,1,2,,,2,1,-1
27,2,4,93,0,FIXED_CAR,false,0,3,1,1,2,,,2,1,-1
28,2,4,96,0,HIT_MUD,false,0,5,1,1,2,,,2,1,-7
29,2,4,96,0,FIXED_CAR,false,0,3,1,1,2,,,2,1,-7
30,2,4,99,0,HIT_WALL,false,0,5,1,1,2,,,2,1,-12
31,2,4,99,0,FIXED_CAR,false,0,3,1,1,2,,,2,1,-12
32,2,4,102,3,ACCELERATING,false,0,3,1,1,2,,,2,1,-12
33,2,4,108,3,HIT_MUD,false,0,4,1,1,2,,,2,1,-15
34,2,4,111,3,ACCELERATING,false,0,4,1,1,2,,,2,1,-15
35,2,4,114,0,HIT_MUD,false,0,5,1,1,2,,,2,1,-18
36,2,4,114,0,FIXED_CAR,false,0,3,1,1,2,,,2,1,-18
37,2,4,117,3,ACCELERATING,false,0,3,1,1,2,,,2,1,-18
38,2,4,123,6,ACCELERATING,false,0,3,1,1,2,,,2,1,-18
39,2,4,129,6,USED_LIZARD,false,0,3,1,1,1,,,2,1,-18
40,2,4,135,6,USED_BOOST,true,5,3,0,1,1,,,2,1,-14
41,2,4,141,6,ACCELERATING,true,4,3,0,1,1,,,2,2,-10
42,2,4,147,6,ACCELERATING,true,3,3,0,1,1,,,2,2,-10
43,2,4,153,6,ACCELERATING,true,2,3,0,1,1,,,2,3,-6
44,2,4,159,6,ACCELERATING,true,1,3,0,1,1,,,2,3,-6
45,2,4,165,6,USED_LIZARD,false,0,3,0,1,0,,,2,3,-6
46,2,4,171,3,HIT_MUD,false,0,4,0,1,0,,,2,3,-9
47,2,4,174,0,HIT_MUD,false,0,5,0,1,0,,,2,3,-18
48,2,4,174,0,FIXED_CAR,false,0,3,0,1,0,,,2,3,-18
49,2,4,177,3,ACCELERATING,false,0,3,0,1,0,,,2,3,-18
50,2,4,183,3,HIT_MUD,false,0,4,0,1,1,,,2,3,-17
51,2,4,186,3,ACCELERATING,false,0,4,0,1,1,,,2,3,-17
52,2,4,189,3,ACCELERATING,false,0,4,0,1,1,,,2,3,-17
53,2,4,192,3,ACCELERATING,false,0,4,0,1,1,,,2,3,-17
54,2,4,195,3,ACCELERATING,false,0,4,0,1,1,,,2,3,-17
55,2,4,198,3,ACCELERATING,false,0,4,0,1,1,,,2,3,-17
56,2,4,201,3,ACCELERATING,false,0,4,0,1,1,,,2,3,-17
57,2,4,204,3,ACCELERATING,false,0,4,0,1,1,,,2,3,-17
58,2,4,207,3,ACCELERATING,false,0,4,0,1,1,,,2,3,-17
59,2,4,210,3,ACCELERATING,false,0,4,0,1,1,,,2,3,-17
60,2,4,213,3,ACCELERATING,false,0,4,1,1,1,,,2,3,-13
61,2,4,216,3,ACCELERATING,false,0,4,1,1,1,,,2,3,-13
62,2,4,219,0,HIT_MUD,false,0,5,1,1,1,,,2,3,-16
63,2,4,219,0,FIXED_CAR,false,0,3,1,1,1,,,2,3,-16
64,2,4,222,3,ACCELERATING,false,0,3,2,1,1,,,2,3,-12
65,2,4,228,6,ACCELERATING,false,0,3,2,1,1,,,2,3,-12
66,2,4,234,6,USED_BOOST,true,5,3,1,1,1,,,2,3,-8
67,2,4,240,6,USED_BOOST,true,5,3,0,1,1,,,2,3,-4
68,2,4,246,6,ACCELERATING,true,4,3,0,1,1,,,2,3,-4
69,2,4,252,6,ACCELERATING,true,3,3,0,2,1,,,2,3,0
70,2,4,258,6,ACCELERATING,true,2,3,0,2,1,,,2,3,0
71,2,4,264,6,USED_LIZARD,true,1,3,0,2,0,,,2,3,0
72,2,4,270,0,HIT_MUD,false,0,5,0,2,0,,,2,3,-9
73,2,4,270,0,FIXED_CAR,false,0,3,0,2,0,,,2,3,-9
74,2,4,273,3,ACCELERATING,false,0,3,0,2,0,,,2,3,-9
75,2,4,279,3,HIT_MUD,false,0,4,0,2,0,,,2,3,-12
76,2,4,282,3,ACCELERATING,false,0,4,0,2,0,,,2,3,-12
77,2,4,285,0,HIT_MUD,false,0,5,1,2,0,,,2,3,-11
78,2,4,285,0,FIXED_CAR,false,0,3,1,2,0,,,2,3,-11
79,2,4,288,3,ACCELERATING,false,0,3,1,2,0,,,2,3,-11
80,2,4,294,0,HIT_MUD,false,0,5,1,2,0,,,2,3,-23
81,2,4,294,0,FIXED_CAR,false,0,3,1,2,0,,,2,3,-23
82,2,4,297,3,ACCELERATING,false,0,3,1,2,0,,,2,4,-19
83,2,4,303,6,ACCELERATING,false,0,3,1,2,0,,,2,4,-19
84,2,4,309,6,USED_BOOST,true,5,3,1,2,0,,,2,4,-11
85,2,4,315,6,USED_BOOST,true,5,3,0,2,0,,,2,4,-7
86,2,4,321,6,ACCELERATING,true,4,3,0,2,0,,,2,5,-3
87,2,4,327,6,ACCELERATING,true,3,3,0,2,0,,,2,5,-3
88,2,4,333,6,ACCELERATING,true,2,3,0,2,0,,,2,5,-3
89,2,4,339,3,HIT_MUD,false,0,4,0,2,0,,,2,5,-6
90,2,4,342,3,ACCELERATING,false,0,4,0,2,0,,,2,5,-6
91,2,4,345,3,ACCELERATING,false,0,4,0,2,0,,,2,5,-6
92,2,4,348,3,ACCELERATING,false,0,4,1,2,0,,,2,5,-2
93,2,4,351,3,ACCELERATING,false,0,4,1,2,0,,,2,5,-2
94,2,4,354,0,HIT_WALL,false,0,5,1,2,0,,,2,5,-7
95,2,4,354,0,FIXED_CAR,false,0,3,1,2,0,,,2,5,-7
96,2,4,357,3,ACCELERATING,false,0,3,1,2,0,,,2,5,-7
97,2,4,363,3,HIT_MUD,false,0,4,1,2,0,,,2,6,-6
98,2,4,366,3,ACCELERATING,false,0,4,1,2,0,,,2,6,-6
99,2,4,369,3,ACCELERATING,false,0,4,1,2,0,,,2,6,-6
100,2,4,372,3,ACCELERATING,false,0,4,1,2,0,,,2,7,-2
101,2,4,375,3,ACCELERATING,false,0,4,1,2,0,,,2,7,-2
102,2,4,378,3,ACCELERATING,false,0,4,2,2,0,,,3,7,6
103,2,4,381,0,HIT_MUD,false,0,5,2,2,0,,,3,7,3
104,2,4,381,0,FIXED_CAR,false,0,3,2,2,0,,,3,7,3
105,2,4,384,3,ACCELERATING,false,0,3,2,2,0,,,3,7,3
106,2,4,390,6,ACCELERATING,false,0,3,2,2,0,,,3,7,3
107,2,4,396,6,USED_BOOST,true,5,3,1,2,0,,,3,7,7
108,2,4,402,0,HIT_WALL,false,0,5,0,2,0,,,3,7,3
109,2,4,402,0,FIXED_CAR,false,0,3,0,2,0,,,3,7,3
110,2,4,405,3,ACCELERATING,false,0,3,0,2,0,,,3,7,3
111,2,4,411,6,ACCELERATING,false,0,3,0,2,0,,,3,7,3
112,2,4,417,6,ACCELERATING,false,0,3,0,2,0,,,3,7,3
113,2,4,423,6,ACCELERATING,false,0,3,0,2,0,,,3,7,3
114,2,4,429,6,ACCELERATING,false,0,3,0,2,0,,,4,7,7
115,2,4,435,6,ACCELERATING,false,0,3,1,2,0,,,4,7,11
116,2,4,441,6,USED_BOOST,true,5,3,0,2,0,,,4,8,19
117,2,4,447,6,ACCELERATING,true,4,3,0,2,0,,,4,8,19
118,2,4,453,0,HIT_MUD,false,0,5,0,2,0,,,4,8,13
119,2,4,453,0,FIXED_CAR,false,0,3,0,2,0,,,4,8,13
120,2,4,456,0,HIT_MUD,false,0,5,0,2,0,,,4,9,11
121,2,4,456,0,FIXED_CAR,false,0,3,0,2,0,,,4,9,11
122,2,4,459,3,ACCELERATING,false,0,3,0,2,0,,,4,9,11
123,2,4,465,3,HIT_MUD,false,0,4,0,3,0,,,4,9,12
124,2,4,468,3,ACCELERATING,false,0,4,0,3,0,,,4,9,12
125,2,4,471,3,ACCELERATING,false,0,4,0,3,0,,,4,9,12
126,2,4,474,3,ACCELERATING,false,0,4,0,3,0,,,4,9,12
127,2,4,477,3,ACCELERATING,false,0,4,0,3,0,,,4,9,12
128,2,4,480,0,HIT_WALL,false,0,5,0,3,0,,,4,9,7
129,2,4,480,0,FIXED_CAR,false,0,3,0,3,0,,,4,9,7
130,2,4,483,3,ACCELERATING,false,0,3,0,3,0,,,4,10,11
131,2,4,489,0,HIT_WALL,false,0,5,0,3,0,,,4,10,3
132,2,4,489,0,FIXED_CAR,false,0,3,0,3,0,,,4,10,3
133,2,4,492,0,HIT_WALL,false,0,5,0,3,0,,,4,10,-2
134,2,4,492,0,FIXED_CAR,false,0,3,0,3,0,,,4,10,-2
135,2,4,495,3,ACCELERATING,false,0,3,0,3,0,,,4,10,-2
